127.0.0.1 - - [31/May/2019:11:51:21 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/May/2019:11:51:27 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [31/May/2019:11:51:27 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [31/May/2019:11:51:43 +0900] "GET /doogeunDate/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [31/May/2019:11:51:43 +0900] "GET /doogeunDate/style/index.css HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [31/May/2019:11:51:43 +0900] "GET /doogeunDate/asset/background.jpg HTTP/1.1" 200 126812
0:0:0:0:0:0:0:1 - - [31/May/2019:11:56:19 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [31/May/2019:11:56:19 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:12:02:38 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [31/May/2019:12:02:38 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:12:03:10 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [31/May/2019:12:04:05 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [31/May/2019:12:04:14 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [31/May/2019:12:04:14 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [31/May/2019:12:04:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [31/May/2019:12:04:20 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:12:06:28 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [31/May/2019:12:06:49 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [31/May/2019:12:06:57 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [31/May/2019:12:06:57 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [31/May/2019:12:07:12 +0900] "GET /doogeunDate/menu.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [31/May/2019:12:07:12 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [31/May/2019:12:07:17 +0900] "GET /doogeunDate/style/menu.css HTTP/1.1" 304 -
